node1,node2,edge,degree1,degree2
1133,3211,0.42649833789363095,16,1
1141,3117,0.41295900355876125,2,1
1141,4872,0.47573823119940334,2,2
1151,4245,0.40330819835913134,2,10
2111,2131,0.713226824170549,1,2
2131,5324,0.4082011710207692,2,1
3132,3133,0.5282705437953743,1,1
3222,3231,0.40553502551687015,5,3
3222,3255,0.4038822844825431,5,4
3222,3259,0.40522840692981693,5,2
3222,3261,0.40497933831593175,5,18
3222,4931,0.409064924959969,5,3
3231,3339,0.40430463604796973,3,7
3252,3259,0.41018462463097677,1,2
3255,3256,0.42607966073780507,4,2
3255,3326,0.42781659993441257,4,4
3255,3372,0.4131384954216475,4,2
3256,4232,0.4090515039193204,2,2
3261,3323,0.45826059972844024,18,22
3261,3328,0.41824971702906716,18,10
3261,3329,0.40337774131363074,18,7
3261,3335,0.4502641477375283,18,6
3261,3339,0.40461151035073184,18,7
3272,4855,0.4173634053149678,1,2
3274,4852,0.42211588240886905,1,1
3314,3353,0.4185789451624786,1,3
3315,3326,0.4093119004916153,2,4
3315,3328,0.4772664363136455,2,10
3321,3322,0.4596194077712559,7,4
3321,3326,0.4505766568204545,7,4
3321,3328,0.48053234027405595,7,10
3321,3329,0.42538497969766276,7,7
3321,3335,0.4084058848686767,7,6
3321,3353,0.4658474953124562,7,3
3321,3359,0.4167295550024963,7,7
3322,3325,0.41286141192238524,4,1
3322,3326,0.4817941509241621,4,4
3322,3359,0.41379513662480333,4,7
3323,4235,0.42276839962546003,22,7
3328,3329,0.4389462412795382,10,7
3328,3332,0.42302595167312357,10,3
3328,3335,0.5233392950337116,10,6
3328,3339,0.47739282063125127,10,7
3328,3353,0.40831113173114264,10,3
3328,4235,0.4238097412120896,10,7
3329,3335,0.41908487269209393,7,6
3329,3339,0.47609580076601016,7,7
3329,4235,0.40137687455962545,7,7
3332,3333,0.40047142031681365,3,4
3332,3339,0.4343984721790386,3,7
3333,3344,0.4027723600127991,4,4
3333,3345,0.4485419463778899,4,5
3333,3359,0.4231551764620512,4,7
3335,3339,0.41890312442585187,6,7
3339,4235,0.4042291201469999,7,7
3341,3342,0.45866432210600416,2,4
3341,3343,0.44381268229929727,2,2
3342,3344,0.4358974358974359,4,4
3342,3345,0.4230769230769231,4,5
3342,3359,0.41754865529128316,4,7
3343,3346,0.46153846153846156,2,3
3344,3345,0.47863247863247865,4,5
3344,3359,0.4669361306483166,4,7
3345,3359,0.43999750772629836,5,7
3345,3391,0.4112544421511331,5,1
3346,3352,0.4447495899966607,3,1
3346,3369,0.4287947242821821,3,1
3351,3359,0.40098320508834334,1,7
3372,4232,0.4040537462859429,2,2
3379,4855,0.40972197579524855,1,2
4233,4235,0.4126523908347136,20,7
4233,4237,0.4821419495423594,20,16
4233,4512,0.42762023605461674,20,26
4233,4884,0.4120408860879841,20,17
4233,5321,0.4288528373146562,20,17
4234,4236,0.45844472799613584,4,1
4234,4242,0.49454698419535387,4,2
4234,5112,0.4101734961193464,4,5
4234,5241,0.47612340238548256,4,3
4235,4237,0.45050145609712716,7,16
4237,4248,0.42910265590124597,16,7
4237,4512,0.42430133298531997,16,26
4237,4921,0.4544308296332589,16,7
4237,5151,0.4203635458559514,16,13
4237,5321,0.4687465481421735,16,17
4237,6219,0.40182748315201644,16,27
4242,5241,0.47767040319084775,2,3
4248,4512,0.4030694555463088,7,26
4248,4921,0.448097229696542,7,7
4248,5151,0.43044523694059716,7,13
4248,5321,0.4397233934855249,7,17
4248,6215,0.437587526258753,7,6
4248,6221,0.46864236732203146,7,12
4481,4512,0.4497536271372947,29,26
4512,4921,0.41939766629702135,26,7
4512,5151,0.45241857878769726,26,13
4512,5321,0.4516954760469268,26,17
4512,6115,0.4260288706072139,26,5
4512,6215,0.40944062526300873,26,6
4512,6219,0.43448637057030504,26,27
4512,6221,0.40701418445823423,26,12
4811,4851,0.4094615124266628,2,1
4811,4881,0.4360491817317043,2,2
4831,4883,0.5129340840404806,1,2
4859,6221,0.42486553782323455,1,12
4871,4879,0.43915503282683993,1,1
4872,4883,0.4257487955733287,2,2
4881,5321,0.4085026435906939,2,17
4921,5151,0.47093520378284387,7,13
4921,5321,0.43655271796669787,7,17
5112,5182,0.4670876041770173,5,3
5112,5241,0.4138471296817637,5,3
5112,5415,0.45918701329446865,5,3
5112,6114,0.408248290463863,5,3
5151,5321,0.47109025388990494,13,17
5151,6219,0.4183175783276516,13,27
5151,6221,0.4250698434468944,13,12
5152,5174,0.40422604172722165,1,1
5182,5331,0.4100154060290008,3,1
5182,6114,0.43490180819783764,3,3
5321,6115,0.4367361475539594,17,5
5321,6215,0.40583780025191646,17,6
5321,6221,0.4140340041348825,17,12
5411,5412,0.4019556791242317,9,22
5415,5416,0.42956695007205775,3,1
5415,5417,0.4478273662204099,3,1
5616,6112,0.41964978891536997,1,2
5621,5629,0.44438467382529223,28,15
5629,6116,0.40128621596920544,15,12
6112,6223,0.4052818694009866,2,2
6114,6117,0.425435629811517,3,1
6115,6221,0.40346201911611246,5,12
6215,6221,0.42211588240886905,6,12
6215,6239,0.41674678716864105,6,3
6219,6221,0.4185110693297313,27,12
6221,6223,0.4447675593140554,12,2
6221,6239,0.41391867719235786,12,3
6221,6243,0.40625930148935674,12,4
